payroll_item_id,payroll_run_id,payroll_line_id,employee_snapshot_id,employee_id,person_id,employment_relationship_id,item_code,item_name,item_category,amount,currency,taxable,affects_net_pay,cost_company_id,source_object_type,source_object_id,applied_rule_ids,calculation_trace
PI_PL_202604_EMP001_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP001,ESNAP_202604_EMP001,EMP001,PER001,EREL_202604_EMP001,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP002_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP002,ESNAP_202604_EMP002,EMP002,PER002,EREL_202604_EMP002,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP003_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP003,ESNAP_202604_EMP003,EMP003,PER003,EREL_202604_EMP003,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP004_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP004,ESNAP_202604_EMP004,EMP004,PER004,EREL_202604_EMP004,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP005_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP005,ESNAP_202604_EMP005,EMP005,PER005,EREL_202604_EMP005,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP006_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP006,ESNAP_202604_EMP006,EMP006,PER006,EREL_202604_EMP006,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP007_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP007,ESNAP_202604_EMP007,EMP007,PER007,EREL_202604_EMP007,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP008_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP008,ESNAP_202604_EMP008,EMP008,PER008,EREL_202604_EMP008,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP009_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP009,ESNAP_202604_EMP009,EMP009,PER009,EREL_202604_EMP009,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
PI_PL_202604_EMP010_BASIC_SALARY,PAYROLL_202604,PL_202604_EMP010,ESNAP_202604_EMP010,EMP010,PER010,EREL_202604_EMP010,BASIC_SALARY,基本薪资,earning,10000.0,CNY,1,1,COMP_SCNY,SalarySplitRule,,payroll_salary_split_formula,"{""basic_salary"": {""basic_salary"": 10000.0, ""basic_salary_rate"": 1.0, ""monthly_salary_total"": 10000.0, ""performance_base_rate"": 0.0, ""performance_salary_base"": 0.0, ""position"": ""南京大学"", ""split_rule_id"": ""SPLIT_01""}}"
