tax_ledger_id,employee_id,payroll_run_id,tax_period,tax_entity_company_id,current_income,cumulative_income,cumulative_deductions,cumulative_basic_deduction,cumulative_taxable_income,cumulative_tax_payable,previous_cumulative_tax_withheld,current_tax,source,reconciliation_status,applied_rule_ids,calculation_trace
TAX_202605_EMP001,EMP001,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP002,EMP002,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP003,EMP003,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP004,EMP004,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP005,EMP005,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP006,EMP006,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP007,EMP007,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP008,EMP008,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP009,EMP009,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP010,EMP010,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP011,EMP011,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP012,EMP012,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,150.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP013,EMP013,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP027,EMP027,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP028,EMP028,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,0.0,,,0.0,,historical_input_from_excel,待计算,,
